Case No.,NAME OF OWNER,Tenure,R.S.NO.,ORIGINAL PLOT,Area in (Sq.Yds.),Area in (Sq.m),Perimeter (yd),FINAL PLOT,Area in (Sq.Yds.),Area in (Sq.m),Perimeter (yd),Type,Layer,REMARKS
56,Plot 41,DXF,R.S.56,41,4212.99,3522.60,2983.45,13,1273.14,1064.50,361.67,LWPOLYLINE,0,Original plot 41
57,Plot 42,DXF,R.S.57,42,1296.29,1083.86,317.70,33,3645.77,3048.32,305.40,LWPOLYLINE,0,Original plot 42
58,Plot 43,DXF,R.S.58,43,5532.44,4625.82,347.49,35,4213.01,3522.61,316.48,LWPOLYLINE,0,Original plot 43
59,Plot 44,DXF,R.S.59,44,1296.30,1083.87,317.70,38,1238.43,1035.49,364.86,LWPOLYLINE,0,Original plot 44
60,Plot 45,DXF,R.S.60,45,1296.30,1083.87,317.70,39,1273.07,1064.45,377.39,LWPOLYLINE,0,Original plot 45
61,Plot 46,DXF,R.S.61,46,3493.47,2920.99,485.80,61,3198.52,2674.37,7267.25,LWPOLYLINE,0,Original plot 46
62,Plot 62,DXF,R.S.62,62,1327.13,1109.65,320.30,62,5598.02,4680.66,349.82,LWPOLYLINE,0,Original plot 62
63,Plot 63,DXF,R.S.63,63,1301.09,1087.88,367.80,63,1249.99,1045.15,367.49,LWPOLYLINE,0,Original plot 63
64,Plot 64,DXF,R.S.64,64,23925.59,20004.84,757.37,64,1215.33,1016.17,364.02,LWPOLYLINE,0,Original plot 64
65,Plot 65,DXF,R.S.65,65,1265.43,1058.06,245.40,65,5293.22,4425.80,409.57,LWPOLYLINE,0,Original plot 65
66,Plot 66,DXF,R.S.66,66,5611.47,4691.90,353.12,66,1326.17,1108.85,367.54,LWPOLYLINE,0,Original plot 66
67,Plot 67,DXF,R.S.67,67,1257.75,1051.64,364.97,67,3689.26,3084.69,308.07,LWPOLYLINE,0,Original plot 67
68,Plot 68,DXF,R.S.68,68,1296.30,1083.87,317.70,68,459.09,383.86,147.02,LWPOLYLINE,0,Original plot 68
69,Plot 69,DXF,R.S.69,69,1250.00,1045.16,245.72,69,13301.47,11121.72,3921.83,LWPOLYLINE,0,Original plot 69
70,Plot 70,DXF,R.S.70,70,5381.97,4500.01,413.37,70,29341.39,24533.14,1209.29,LWPOLYLINE,0,Original plot 70
71,Plot 71,DXF,R.S.71,71,3607.27,3016.14,306.48,71,185618.33,155200.57,13750.93,LWPOLYLINE,0,Original plot 71
72,Plot 72,DXF,R.S.72,72,81963.89,68532.25,2274.35,72,2321.59,1941.15,407.24,LWPOLYLINE,0,Original plot 72
73,Plot 73,DXF,R.S.73,73,1296.29,1083.86,317.70,73,1625.19,1358.86,354.06,LWPOLYLINE,0,Original plot 73
74,Plot 74,DXF,R.S.74,74,52881.85,44215.96,1509.02,74,3982.81,3330.14,7090.73,LWPOLYLINE,0,Original plot 74
75,Plot 75,DXF,R.S.75,75,14204.23,11876.55,676.00,75,18272.03,15277.74,3634.35,LWPOLYLINE,0,Original plot 75
76,Plot 76,DXF,R.S.76,76,1894.28,1583.86,390.70,76,9073.09,7586.26,644.47,LWPOLYLINE,0,Original plot 76
77,Plot 77,DXF,R.S.77,77,1215.30,1016.14,364.02,77,1831.43,1531.31,3658.44,LWPOLYLINE,0,Original plot 77
78,Plot 78,DXF,R.S.78,78,4212.97,3522.58,316.48,78,6850.92,5728.24,630.77,LWPOLYLINE,0,Original plot 78
79,Plot 79,DXF,R.S.79,79,8711.46,7283.89,608.10,79,18048.54,15090.88,7374.05,LWPOLYLINE,0,Original plot 79
80,Plot 80,DXF,R.S.80,80,1878.85,1570.96,387.42,80,3104.90,2596.09,7299.16,LWPOLYLINE,0,Original plot 80
